Q,anchor_index,phase_index,phase_in_P_line_units,support_rotation_offset,PC1,PC2,harmonic_PC1,harmonic_PC2,inferred_phase_radians,inferred_phase_speed,pointwise_generator_residual
550.0,5,390,1.625,0.37013888888888885,-0.030933797997394166,-0.000115656802574604,-0.030929182933088842,-0.0001451599025387228,5.111859729535058,13.820673681457736,0.0296173161773266
550.0,5,391,1.6291666666666667,0.3710879629629629,-0.03094171778417836,0.00016863615892529694,-0.030929999244482587,0.00013858444674225856,5.124971276632339,13.8121872651416,0.013725245174246104
550.0,5,392,1.6333333333333333,0.37203703703703705,-0.03093519723807432,0.00045278771226048623,-0.030925515859733858,0.00042230505029168904,5.138077307214262,13.813283230996099,0.018144664621059126
550.0,5,393,1.6375,0.37298611111111113,-0.030914523521027918,0.0007367886836040521,-0.030915733547047557,0.0007059532940448019,5.1511909346171,13.823566667255738,0.031943036064008445
550.0,5,394,1.6416666666666666,0.37393518518518515,-0.03088949359442355,0.0010207637472142202,-0.030900653982572596,0.0009894805763352378,5.164316484684516,13.831067963641972,0.017916076094680284
550.0,5,395,1.6458333333333333,0.3748842592592592,-0.030866291135198076,0.0013047434090913458,-0.03088027975011473,0.0012728383162227787,5.177444350659198,13.831619930199194,0.0039365318848852875
550.0,5,396,1.65,0.37583333333333335,-0.030841651036335526,0.0015886304031539566,-0.03085461434069379,0.001555977961817425,5.190570948440913,13.83055378982204,0.026355451817476627
550.0,5,397,1.6541666666666666,0.3767824074074074,-0.030821664051906294,0.0018728643849795425,-0.030823662151945562,0.0018388509985985096,5.203696790723212,13.823394858050204,0.04402197076800483
550.0,5,398,1.6583333333333334,0.37773148148148145,-0.030796528225493554,0.002156723799786053,-0.030787428487368245,0.0021214089577274156,5.216809799791841,13.816100085948474,0.002627706686082534
550.0,5,399,1.6625,0.3786805555555555,-0.030742064270735007,0.002438503230467538,-0.030745919555413732,0.0024036034243524592,5.229921795515985,13.823527103091267,0.04484452126367848
550.0,5,400,1.6666666666666667,0.37962962962962965,-0.030679580417854208,0.002719723294377292,-0.030699142468423826,0.0026853860459045225,5.24304890216345,13.833335422603403,0.03146492528369616
550.0,5,401,1.6708333333333334,0.3805787037037037,-0.03062228232849942,0.0030012986639272403,-0.030647105241411576,0.0029667085403820063,5.2561795155311115,13.83671713534083,0.007095028566069151
550.0,5,402,1.675,0.38152777777777774,-0.030563656749453483,0.0032827612763430335,-0.030589816790687927,0.0032475227046237913,5.269313041170347,13.83849781577921,0.013224805128531235
550.0,5,403,1.6791666666666667,0.3824768518518518,-0.030506588841866987,0.0035644566333839192,-0.030527286932334016,0.003527780422568394,5.282447034533285,13.833685304737985,0.028601780481247195
550.0,5,404,1.6833333333333333,0.38342592592592595,-0.03044641417424555,0.003845718141770561,-0.030459526380519145,0.003807433673498671,5.295571425313599,13.824750453037256,0.017953163340273196
550.0,5,405,1.6875,0.384375,-0.03037282372872063,0.004125205864644377,-0.03038654674566504,0.004086434540269716,5.308688459004328,13.823826697683524,0.012874729636086105
550.0,5,406,1.6916666666666667,0.38532407407407404,-0.030284723584756576,0.004402763129364187,-0.030308360532456436,0.004364735217519309,5.321811096360128,13.833383707331032,0.03086557375506128
550.0,5,407,1.6958333333333333,0.3862731481481481,-0.030190228819306008,0.004679484674796617,-0.03022498113769846,0.00464228801985912,5.334946270671021,13.842073600385302,0.02079427619824849
550.0,5,408,1.7,0.38722222222222225,-0.03009762311813105,0.00495646013615446,-0.030136422848021177,0.004919045390045248,5.34808540273123,13.84339180079103,0.0038867945294552685
550.0,5,409,1.7041666666666666,0.3881712962962963,-0.030003768287715126,0.005233177233074962,-0.03004270083743161,0.00519495990712713,5.361223079181782,13.842549893224616,0.020387950198854164
550.0,5,410,1.7083333333333333,0.38912037037037034,-0.029913157952059132,0.005510557569643157,-0.02994383116471379,0.005469984294572652,5.3743606131767026,13.83670450522456,0.04255350180583933
550.0,5,411,1.7125,0.3900694444444444,-0.0298217874290793,0.005787779447624144,-0.029839830770677162,0.005744071428368853,5.387487194214847,13.828060942968534,0.012209490407787677
550.0,5,412,1.7166666666666666,0.39101851851851854,-0.02970350989800404,0.006059711843039801,-0.029730717475253854,0.006017174345096348,5.400608321448078,13.833250858502588,0.03891462753994637
550.0,5,413,1.7208333333333334,0.3919675925925926,-0.029572259907104093,0.006329103907875894,-0.029616509974445305,0.0062892462499763435,5.4137447537147825,13.843970319023843,0.0344974150704084
550.0,5,414,1.725,0.39291666666666664,-0.029446384284038393,0.006599546908612582,-0.02949722783711885,0.006560240524888498,5.426886228072151,13.847907498174896,0.009778795654282729
