q,cell_index,center_start,cell_left,cell_right,cell_half_width,line_center_validation_radius,second_center_validation_radius,oriented_center_validation_radius,two_line_center_validation_radius,line_total_cell_radius,second_total_cell_radius,oriented_total_cell_radius,two_line_total_cell_radius,line_start_derivative_bound,second_start_derivative_bound,oriented_start_derivative_bound,two_line_start_derivative_bound,active_det_center,active_sigma_center,active_sigma_lower,active_orientation_pass,without_z_det_center,without_z_sigma_center,without_z_sigma_lower,without_z_orientation_pass,planar_separation_lower,active_norm_upper,mediation_margin_lower,mediation_pass,endpoint_separation_lower,endpoint_separation_pass,composition_enclosure_upper,all_structural_pass
550.0,34,662.5111523437774,662.4347999132219,662.587504774333,0.07635243055551655,2554.795046323493,2363.140505372676,830776643.9210857,898519376.7507905,13359430.913494341,12357227.82720427,4344463311337.439,4698745864127.894,1498098907.9336784,1385713755.2494988,487181870888263.25,526910983143082.5,-0.2864749827607477,0.32144744653754626,-4344463311337.1177,False,0.05365236456514759,0.06087576577805722,-165085565241536.2,False,-169430000881248.7,4344463311338.386,-173557241027020.16,False,-9043209175465.32,False,169430054572188.6,False
550.0,35,662.6638572048886,662.587504774333,662.7402096354442,0.07635243055563024,2556.920754131785,2361.4745463713325,831419192.5213635,899211950.8377573,13377794.92559916,12355268.136029163,4349669208834.084,4704305106810.012,1500253171.4368038,1385582455.911076,487789832014413.8,527559769700251.75,-0.2862891169360731,0.3214337124070399,-4349669208833.7627,False,0.05362852292706552,0.06088565712036696,-165286277205332.53,False,-169635918717587.44,4349669208835.031,-173768104465980.72,False,-9053974315644.082,False,169635972441918.12,False
550.0,36,662.8165620659997,662.7402096354442,662.8929144965552,0.07635243055551655,2556.993510339371,2362.1923916373944,831322565.9543285,899108699.2797862,13380679.488337286,12361287.724308118,4350363520123.916,4705117244950.702,1500609455.1866248,1386287173.0134952,487883411409034.56,527668560086090.7,-0.2866688462254572,0.32143926194414196,-4350363520123.5947,False,0.05365094109543569,0.0608328427624686,-165402462947154.34,False,-169752798758497.28,4350363520124.864,-173885644102615.9,False,-9055480765074.605,False,169752852501314.78,False
550.0,37,662.9692669271108,662.8929144965552,663.0456193576663,0.07635243055551655,2554.919417212401,2363.2665749730727,830815775.226919,898566996.2119759,13360589.249440823,12358349.807076149,4344818968938.94,4699159486936.902,1498235454.0123782,1385845631.9190671,487223731844972.1,526959522074790.3,-0.28646464409105377,0.3214473158248803,-4344818968938.6187,False,0.05365177825187918,0.060877234159970726,-165114869377858.94,False,-169459660672797.94,4344818968939.887,-173587238693290.84,False,-9043978455875.83,False,169459714368499.9,False
550.0,38,663.1219717882219,663.0456193576663,663.1983242187775,0.07635243055563024,2556.967270265869,2361.4532823795853,831428112.4938568,899223372.4886104,13377621.816791352,12354775.080349725,4349575497958.3423,4704212828029.072,1500228303.3774064,1385522161.5464396,487777484383082.4,527547430028125.94,-0.2862941483031517,0.32143347522011834,-4349575497958.021,False,0.05362845756946478,0.06088450628454181,-165277542486598.66,False,-169627090288405.8,4349575497959.289,-173759187011467.12,False,-9053788325987.402,False,169627144011322.6,False
550.0,39,663.2746766493331,663.1983242187775,663.3510290798886,0.07635243055551655,2556.985209932323,2362.26764827262,831317427.4470733,899107351.5915445,13380854.8067627,12361889.497459468,4350419283804.8604,4705197590988.101,1500631981.9657755,1386357384.196522,487890747720011.56,527678715401871.25,-0.28667403130882324,0.3214396368641952,-4350419283804.539,False,0.05365159552466209,0.06083255476240666,-165412682348633.03,False,-169763073923023.75,4350419283805.8086,-173895972242639.28,False,-9055616874792.95,False,169763127667487.66,False
550.0,40,663.4273815104441,663.3510290798886,663.5037339409996,0.07635243055551655,2554.996340646735,2363.3032994208565,830849339.7117001,898597755.3666302,13361318.394796094,12358848.709944082,4345092047455.578,4699425646889.425,1498321500.2303872,1385905596.774847,487255632247868.44,526990748177612.7,-0.2864542724315361,0.32144716798899403,-4345092047455.257,False,0.053651170607989386,0.06087868317647614,-165130546412814.72,False,-169475610785035.3,4345092047456.5254,-173603448230119.0,False,-9044517694344.99,False,169475664483299.5,False
550.0,41,663.5800863715552,663.5037339409996,663.6564388021109,0.07635243055563024,2556.9221144462927,2361.3106810979866,831410289.1986259,899202537.7662152,13377163.012434399,12353826.45058236,4349410295139.013,4704025937057.156,1500173935.5414572,1385413124.23944,487758015449341.1,527525451193154.06,-0.2862996176283832,0.32143325129915934,-4349410295138.692,False,0.05362842639972694,0.06088330483632384,-165259184085346.9,False,-169608566685584.47,4349410295139.96,-173740506465967.44,False,-9053436232196.156,False,169608620405538.22,False
550.0,42,663.7327912326664,663.6564388021109,663.8091436632219,0.07635243055551655,2556.8658171662323,2362.2797310482824,831284110.4665135,899067223.3806866,13380524.69387192,12362234.435075253,4350357106795.7715,4705103041044.05,1500598820.2129672,1386399757.9401743,487885243902020.25,527669623876670.0,-0.28667879838591703,0.32144001490932134,-4350357106795.45,False,0.053652236097970325,0.060832338251131504,-165413216975661.56,False,-169763546373220.2,4350357106796.7197,-173896385624677.06,False,-9055460147839.809,False,169763600117741.75,False
550.0,43,663.8854960937775,663.8091436632219,663.961848524333,0.07635243055563024,2555.106205193497,2363.4011615805944,830888613.7441633,898639931.3293159,13362418.967987288,12359845.117778715,4345451417893.9565,4699813217420.139,1498451806.4299166,1386023679.7799995,487297948525007.7,527036397386344.0,-0.2864438891863767,0.3214470035533743,-4345451417893.6353,False,0.05365054282811309,0.06088010973278581,-165157462652028.94,False,-169502886392486.62,4345451417894.904,-173631065239486.78,False,-9045264635314.082,False,169502940095127.06,False
