q,sample_index,start_s,active_determinant,active_sigma_min,without_z_determinant,without_z_sigma_min,planar_failure_ratio,mediation_margin_tau,oriented_vs_two_line_separation,active_derivative_frobenius,without_z_derivative_frobenius,planar_derivative_frobenius,two_line_derivative_frobenius,composition_relative_residual,line_matrix_convergence,second_matrix_convergence,oriented_matrix_convergence,two_line_matrix_convergence,composed_matrix_convergence
550.0,39,663.2746766493331,-0.28667403226152066,0.32143963753723626,0.053651594498502084,0.06083255352750523,1.014841579408544,0.06146999760411409,0.012568850951564741,0.0037909239985003383,0.0038234022188082346,7.327723161412607e-05,0.00367848366360132,3.9703352661421776e-14,3.0272579413443154e-09,2.9866303474948307e-09,4.89473083076486e-09,4.9110435943579805e-09,4.894249848777519e-09
550.0,40,663.4273815104441,-0.2864542733819298,0.3214471686623566,0.053651169582373995,0.0608786819414924,1.0148636608185604,0.06144810608455453,0.012548527187688539,0.009682600690551546,0.009513514948101733,0.0003371036649889443,0.009763233767374915,6.049450580825509e-14,3.02908848863284e-09,2.9883262510822325e-09,4.894444703305871e-09,4.907365942307924e-09,4.894362948839572e-09
550.0,41,663.5800863715552,-0.28629961857812164,0.3214332519730107,0.05362842537495617,0.060883303601713484,1.0148778923952417,0.06143427368126908,0.012561438015392145,0.006193743675237161,0.005973896685846388,0.00033663140151888216,0.0063826534468255985,9.040980960080317e-14,3.030370460621237e-09,2.989724079270761e-09,4.890612732711363e-09,4.925200611069132e-09,4.8918478000232325e-09
550.0,42,663.7327912326664,-0.28667879933563745,0.3214400155819688,0.05365223507174312,0.060832337016460535,1.014841145035749,0.06147043479991943,0.01256852824299278,0.0033735132105923607,0.003414672527921572,7.34047880307462e-05,0.0032559960330519836,7.078872970804024e-14,3.0302533873908535e-09,2.987853239411607e-09,4.8914301144473095e-09,4.916609109991466e-09,4.892116465030872e-09
550.0,43,663.8854960937775,-0.2864438901316964,0.3214470042268717,0.05365054180289843,0.060880108499024824,1.014864674354548,0.06144711952169879,0.012548301339973967,0.009634944258181654,0.009472039071143135,0.0003292234152478529,0.009701542347069292,5.798027618762072e-14,3.0302830487790373e-09,2.9917440988362407e-09,4.885642650960931e-09,4.922744626660444e-09,4.886257438243026e-09
550.0,44,664.0382009548886,-0.2863055172953753,0.3214330424178464,0.05362842883341529,0.060882053932631554,1.0148772875006162,0.06143485160711093,0.012561995298454285,0.006563471169650376,0.00634096273626181,0.0003461332412018261,0.006751989690903228,7.11044537389251e-14,3.02621897551823e-09,2.987361717171158e-09,4.906105917343588e-09,4.911672242056946e-09,4.905091860349525e-09
550.0,45,664.1909058159997,-0.2866831360057552,0.3214403958738527,0.05365286034978488,0.06083219284672143,1.0148407528499004,0.06147082996926012,0.012568185492823056,0.002950555093798383,0.0029995024665865786,7.779375643042343e-05,0.0028229813814339673,5.702892907831736e-14,3.0279386888388435e-09,2.987507586580212e-09,4.8947237967975055e-09,4.910133179759604e-09,4.894158936643174e-09
550.0,46,664.3436106771109,-0.2864335204037632,0.32144682320303825,0.05364989523102023,0.06088150896232859,1.0148656861993224,0.06144613630921125,0.012548101058405137,0.009560475206932048,0.009405531427955947,0.00031989667094591673,0.009620691550357071,6.584162646795192e-14,3.026674760316468e-09,2.9863349834563248e-09,4.899845306078856e-09,4.90481803984976e-09,4.898898244712268e-09
550.0,47,664.4963155382219,-0.28631183390526727,0.32143284759322466,0.05362846695545131,0.06088075854436433,1.0148766424729165,0.061435468683004646,0.012562550320688875,0.006921324763949472,0.006695958737597321,0.00035511650283911393,0.0071088179042812435,8.022893940230333e-14,3.030416564194995e-09,2.989492413734478e-09,4.894216166253229e-09,4.920373630388287e-09,4.895062899595517e-09
550.0,48,664.649020399333,-0.2866870311023528,0.3214407777315635,0.053653468840229916,0.060832121546781144,1.014840403566161,0.061471181773740335,0.012567814476525494,0.0025155431543748977,0.002572252256440089,8.572092527825217e-05,0.0023806632011534145,6.923260940897021e-14,3.0294968467516503e-09,2.9871449566680274e-09,4.890656606774522e-09,4.916347450910979e-09,4.891328593286817e-09
550.0,49,664.8017252604442,-0.2864231881429528,0.32144662583511385,0.05364923124975964,0.06088287996226394,1.0148666938258968,0.06144515856270749,0.012547921281688941,0.009467374839663903,0.009319806837100026,0.0003103103200852791,0.009522401190262939,5.849010139096305e-14,3.0316562561519018e-09,2.9916141496984226e-09,4.886201262636639e-09,4.920154958782318e-09,4.88742313796062e-09
550.0,50,664.9544301215552,-0.28631855609788986,0.3214326676948567,0.05362853980581665,0.06087942012662948,1.0148759587187632,0.061436123871139836,0.012563101031610692,0.007266228571917739,0.007038087125945868,0.0003628560083005977,0.007450822968037311,6.828782631523345e-14,3.0274760486389673e-09,2.988676726772436e-09,4.895784202079117e-09,4.923998916100405e-09,4.895373580390614e-09
550.0,51,665.1071349826664,-0.2866904713689286,0.3214411602242446,0.05365405894478035,0.06083212391445767,1.0148400982483172,0.06147148884597764,0.012567426106579216,0.0020763848839714513,0.002138974444861096,9.687760611125228e-05,0.0019376442770974675,4.826208756780778e-14,3.029847372926849e-09,2.9892991794641694e-09,4.896016144923955e-09,4.909403934438869e-09,4.8955473162843375e-09
550.0,52,665.2598398437775,-0.2864129149102391,0.32144641280333297,0.05364855118458308,0.060884218530113485,1.0148676948281175,0.061444187996133603,0.012547766335578454,0.009355240556784064,0.009214699807564392,0.00030045392506769335,0.009397216768738812,6.05469833264543e-14,3.0244670846498347e-09,2.985980011566476e-09,4.900776897402007e-09,4.906597339347647e-09,4.89956219193584e-09
550.0,53,665.4125447048885,-0.2863256710899662,0.3214325035753646,0.053628647533197495,0.06087804159241129,1.0148752375580083,0.06143681586495453,0.012563646451721958,0.007595049560811355,0.0073657553616960775,0.0003696098394059436,0.0077785283801788604,6.363839112888757e-14,3.029601716326881e-09,2.9888256115509843e-09,4.899013997839217e-09,4.914026052661959e-09,4.898967071736748e-09
