Q,rotation_number,lambda_full,lambda_open,lambda_phase,lambda_kappa,branch_closure_residual,mean_line_overlap_with_previous_rotation
522.25,1156,0.16753028729366948,0.11263861022902011,0.049291282222443125,0.005600394842206278,-3.382710778154774e-17,0.15162946504168953
522.25,1157,-0.12478887840095311,-0.1724321441080915,0.04278345718082753,0.00485980852631085,-8.673617379884035e-19,0.1641524552138577
522.25,1158,0.08624294591565235,0.03064456071708182,0.04992724532256006,0.005671139876010435,3.642919299551295e-17,0.15455600714108014
522.25,1159,-0.03619867862304895,-0.08358188900178563,0.04254904672610219,0.004834163652634399,9.194034422677078e-17,0.1603828263316469
522.25,1160,-0.01176268215363514,-0.06724862588545193,0.04982998801007831,0.005655955721738477,-5.204170427930421e-18,0.15774199349338783
522.25,1161,0.058488017371939094,0.010614185407353016,0.042986936110794564,0.004886895853791575,-6.331740687315346e-17,0.15700700199881149
522.25,1162,-0.10752832388072571,-0.16211620808085592,0.04902244141225883,0.005565442787871317,5.898059818321144e-17,0.1612015770893758
522.25,1163,0.14334244722768255,0.09431021129771576,0.04402723550970968,0.005005000420257064,4.5102810375396984e-17,0.15387391300693348
522.25,1164,-0.1822405378956539,-0.23530184298230267,0.04765524353957888,0.005406061547069848,4.5102810375396984e-17,0.16509632759916334
522.25,1165,0.20272679518465736,0.15204172025193,0.04550988316340325,0.005175191769324069,4.5102810375396984e-17,0.15094425462553726
522.25,1166,-0.22028369075676316,-0.27150512810118865,0.04599985486717793,0.005221582477247471,9.194034422677078e-17,0.16846929251799336
522.25,1167,0.22331708637823158,0.17078765888084746,0.0471679269258226,0.005361500571561671,-1.457167719820518e-16,0.14892279214259782
522.25,1168,-0.21375109359823705,-0.26319684595677817,0.04440664030889902,0.0050391120496421525,-5.117434254131581e-17,0.16895334931200773
522.25,1169,0.1990745880672251,0.1448862960308751,0.04865832327487845,0.005529968761471429,1.2663481374630692e-16,0.14999794721064585
550.0,610,0.03780808663896432,-0.01468704458237716,0.048044838113604826,0.004450293107736727,-7.979727989493313e-17,nan
550.0,611,0.09319008799476515,0.04738906055490551,0.041913667041772136,0.003887360398087477,2.992397996059992e-17,0.30819614916388477
550.0,612,-0.17784712397075042,-0.2272341459718825,0.04517526452744013,0.004211757473691772,1.6479873021779667e-16,0.3194376313461744
550.0,613,0.20384413520086947,0.15381020205927337,0.045796144108313425,0.004237789033282757,-8.326672684688674e-17,0.29716537198617
