period,full_rms_half_separation_x,full_smoothed_amplitude,full_fit_mask,replay_local_log_factor,replay_cumulative_lambda,mean_local_log_factor,mean_cumulative_lambda
138.0,1.3826749088207377e-08,1.3373460344067914e-08,1,-1.8401950617005631,-1.8845598942318957,-1.838846307850472,-1.8839801050847376
139.0,1.3008563123778742e-08,1.3460915748460317e-08,1,-1.8762715032368782,-1.8845002655197012,-1.8736862231566378,-1.883906048380219
140.0,1.3803114798205067e-08,1.353937683069886e-08,1,-1.9198591202506672,-1.8847528287677797,-1.9176000594960498,-1.8841467198881894
141.0,1.3660652075069525e-08,1.3627439309577237e-08,1,-1.9320674467827128,-1.8850883934345521,-1.9320898362602388,-1.8844867419901186
142.0,1.339780506823358e-08,1.3710972340187335e-08,1,-1.8940134964624078,-1.8851512462727769,-1.8965935956013626,-1.8845720015225922
143.0,1.426706148259927e-08,1.3794202290237117e-08,1,-1.8457535012447055,-1.8848757375662868,-1.8471148708342195,-1.8843100635457504
144.0,1.3426228276829236e-08,1.3884525643808282e-08,1,-1.8408553867964534,-1.884570040685941,-1.8397836737232938,-1.8840008525053165
145.0,1.4219264548453967e-08,1.3965471690882947e-08,1,-1.8776241151639275,-1.8845221377513064,-1.8755024049662508,-1.8839422425222885
146.0,1.4112268842925352e-08,1.4056169492612913e-08,1,-1.9211191645069168,-1.8847728023181256,-1.918992488742189,-1.8841823127018766
147.0,1.3802535303606902e-08,1.414258494847737e-08,1,-1.9311302620855246,-1.8850881591872914,-1.9316190165545024,-1.8845050113675408
148.0,1.4720550491249103e-08,1.4228234876721634e-08,1,-1.8921534870207004,-1.8851358978888688,-1.89485889603775,-1.884574970047745
149.0,1.3858305556151522e-08,1.4321509939075463e-08,1,-1.8442766029357238,-1.8848616744328075,-1.8457776691160792,-1.8843145854777341
150.0,1.4647514189675278e-08,1.4405034007822306e-08,1,-1.8412369690740784,-1.8845708430637493,-1.8405768674535707,-1.8840230006909064
151.0,1.4578644154694499e-08,1.4498419372964813e-08,1,-1.8799396091546827,-1.8845401726405104,-1.8773237243591003,-1.8839786346224838
152.0,1.4220155647341129e-08,1.4587802164317345e-08,1,-1.922611599178418,-1.884790642551944,-1.9203274089419409,-1.884217771295638
153.0,1.518747731696163e-08,1.467592716407144e-08,1,-1.9307716478363481,-1.8850911719982475,-1.9313913246269134,-1.8845260951736205
154.0,1.4305219512914182e-08,1.4772248584535011e-08,1,-1.8901165010528578,-1.8851238040050955,-1.8923060058030745,-1.8845766140738116
155.0,1.5088139188445753e-08,1.4858451426034608e-08,1,-1.8434003555957093,-1.8848546204669703,-1.8445201626454173,-1.8843181853549187
