period,full_local_log_factor,full_cumulative_lambda,full_rolling_lambda,full_x_rms_projection,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_rolling_lambda,phase_only_x_rms_projection,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_rolling_lambda,kappa_only_x_rms_projection,open_local_log_factor,open_cumulative_lambda,open_rolling_lambda,open_x_rms_projection
150.0,-0.10129810039383849,-0.0066097255957820586,0.005406403533565615,0.008950466136009532,0.07215314166417212,-0.009332647234604037,0.002988488657065286,0.009950333702149579,0.08889789906379937,-0.07311388260093389,-0.0441950973995127,0.00918049118833783,-1.8397298896208492,-1.8846927479010231,-1.8846130299758976,0.096421383144409
151.0,0.18527797875685018,-0.005338946096758004,0.006400492103624459,0.009856347105911375,0.057620919988189204,-0.008889246127168321,0.003604879122517446,0.008760427192177825,-0.24200892724223516,-0.07423239283034648,-0.04487888933001618,0.008018706818160361,-1.8757026065282507,-1.8846332105409385,-1.8831597858727342,0.08808035921483248
152.0,-0.183832784215699,-0.006513247663329985,0.0066340570028083105,0.007984074903402869,-0.1618803972584814,-0.009895766858295381,0.003166095031845423,0.008533634396172659,0.14145507803632643,-0.0728133963114868,-0.04262801913781402,0.010179504191489169,-1.9195008895041064,-1.884862603165696,-1.8834509370531272,0.08320178210634517
153.0,0.13862133234207955,-0.005564655637150838,0.005513355961884745,0.01025815457920767,0.20231983200364778,-0.008508736800374183,0.003263991824827295,0.010213338076141288,-0.13833890886689507,-0.07324166763537836,-0.04561798439747004,0.007918902783853352,-1.9323351018275492,-1.885172880934728,-1.8853772963380506,0.08634718383309596
154.0,-0.0034970062767945165,-0.00555122934260307,0.007099166931949283,0.008402527608219343,-0.15193943063314483,-0.00944010494214542,0.0036430070793477707,0.00794512385761931,-0.06137859041688252,-0.07316463466642709,-0.042526900507614984,0.009295877792972213,-1.8948921095301166,-1.885235992808724,-1.8868302998723152,0.09515854713291662
155.0,-0.10895164404340406,-0.006218328792285657,0.005429931148321155,0.008900680457376783,0.06878658928723452,-0.008935416592278454,0.0029868347283488693,0.009933104684249473,0.07671149677801165,-0.07219769188291457,-0.04431107806644974,0.009076222755497137,-1.8457654233835616,-1.884981343973723,-1.8863233403992836,0.10030046347041384
156.0,0.18892304083859068,-0.004967422576703116,0.006367816447904196,0.009905615302704342,0.06065603920616842,-0.008489317516647384,0.0036013054844251657,0.00878007356923683,-0.23923532626669383,-0.07326844594947726,-0.04472962881198521,0.008071669030068425,-1.8404323177932969,-1.8846957732930791,-1.8845461318654089,0.09615242957758595
157.0,-0.1809946391960475,-0.006088615039246711,0.0066771047135689154,0.007973318736583024,-0.163841915816274,-0.009478824512186406,0.003172696522210289,0.008517573888016211,0.14708641204231582,-0.071864911822141,-0.04271044117840508,0.010170980817003558,-1.8773575766299624,-1.8846490331869445,-1.8831343679474124,0.08780742300648639
158.0,0.1315905346559631,-0.005217228015859307,0.005490214462582882,0.010228906264300447,0.20254880937032993,-0.008136877462297064,0.003259096944887169,0.010225492747803116,-0.15181595117459265,-0.07237093105854892,-0.045653985034457986,0.007882712167074599,-1.9207003232915854,-1.8848772059091259,-1.8834994365097728,0.08316554806181448
159.0,0.004619510181924053,-0.005155361737885826,0.007087132073239813,0.008443165257967082,-0.14986048544507358,-0.009028220908729621,0.003646442947777939,0.007946723491004032,-0.04397472836481257,-0.072192338588777,-0.04244776093233602,0.009391587497745373,-1.9318390342578682,-1.8851725633201242,-1.8854515748260077,0.0866033180728687
160.0,-0.11635548838917945,-0.0058503625294564114,0.005455591035285523,0.008851631281285674,0.06539880357348443,-0.008563052005715782,0.002985268444082717,0.009915662441564605,0.06383745108855259,-0.07134215240329368,-0.04442587759615879,0.00897247821373591,-1.8929440100594708,-1.885221134862245,-1.886847447232671,0.09546575053217163
161.0,0.19223714223948732,-0.0046200053569785,0.006334991974342716,0.009953306986631426,0.06367843203033544,-0.008114347135926644,0.0035976807259487874,0.008799877794920792,-0.23502410289102463,-0.07235881048085722,-0.04457186484671523,0.008129770488962108,-1.844647066009028,-1.884969122012225,-1.8862733140139596,0.10030930070573746
162.0,-0.177811948813432,-0.005689091427697349,0.006718664356469834,0.007964310981822497,-0.16574974552288546,-0.00908740515066096,0.0031793766656948884,0.008501691581290025,0.1512960837431946,-0.0709782247140421,-0.04279868351853753,0.010151476545126225,-1.8411910071702422,-1.8846988867354229,-1.8844797068472985,0.09587803817347688
163.0,0.12428810167113219,-0.004891685335066493,0.005468022127286798,0.010197259727158637,0.20271886820064333,-0.007787980160775657,0.0032542126007753915,0.010237247476846777,-0.16468950580776318,-0.0715531405489729,-0.045679420889556566,0.007852906270394885,-1.879020680456893,-1.8846640511140822,-1.883111355171819,0.08753952728803824
164.0,0.01273828915323533,-0.004784185490625628,0.007073670023946368,0.008485316675313643,-0.1477429842485237,-0.008641364332042413,0.0036497528257620816,0.007948597068252685,-0.026570906850145435,-0.07127885863617517,-0.04238270894206235,0.009485590474969245,-1.9218578616936501,-1.8848908426420063,-1.8835502098726358,0.08314022838032585
165.0,-0.12349371242863476,-0.005503637169037804,0.005483357642768904,0.008803384753577904,0.06199088591175701,-0.008213290088140597,0.0029837911499804915,0.009898014765066604,0.05035992286208741,-0.07054165389982206,-0.04453906550421207,0.008870058880262925,-1.9312722577294426,-1.885171942127385,-1.885525045248778,0.08686721254932306
166.0,0.19521042148825204,-0.004294516333752925,0.006302050878543064,0.009999270942493713,0.06668739937261942,-0.007762081115485417,0.003594005964309377,0.008819835168945718,-0.22939118172721507,-0.07149857876625214,-0.04440726833265276,0.008192812597729348,-1.8909818136502181,-1.885206941353426,-1.886861836534783,0.0957674108186768
167.0,-0.17429438851345314,-0.005312479640218196,0.006758623623007129,0.007957065702340109,-0.16760333144962128,-0.008719214351019165,0.003186132475252357,0.008485989997471575,0.15406816381109517,-0.07014787970890275,-0.04289212438810393,0.010121168082415413,-1.8435936166237723,-1.8849577597682186,-1.88622168058155,0.10030501772389629
168.0,0.1167297156661827,-0.004586038001489619,0.0054468322006444025,0.0101633345714915,0.20282975366543857,-0.0074599943033021535,0.0032493395079340737,0.010248596204737207,-0.17687539737875985,-0.0707831625521757,-0.04569357895709532,0.00782951048141639,-1.842004508771247,-1.8847020856551413,-1.8844138326811595,0.09559861338737713
