period,full_local_log_factor,full_cumulative_lambda,full_x_rms_half_separation,full_end_local_norm,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_x_rms_half_separation,phase_only_end_local_norm,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_x_rms_half_separation,kappa_only_end_local_norm,open_local_log_factor,open_cumulative_lambda,open_x_rms_half_separation,open_end_local_norm
54.0,0.13784978964333508,-0.0854562928399401,8.916248165477365e-07,1.1478031254088019e-06,0.2375020816256088,-0.08851429894884287,9.421471018427075e-07,1.2680776364521222e-06,0.21931382018274395,-0.1826837304027897,9.344415191586236e-07,1.2452219911713505e-06,0.02748891656927077,-0.5714576918380407,8.396279341586077e-07,1.0278702227167353e-06
55.0,0.0767185338727664,-0.08250765962698181,8.363839912390095e-07,1.0797381239113593e-06,-0.029047061007306255,-0.08743307644081492,7.925419401220329e-07,9.713707497059444e-07,-0.11888010282738204,-0.18152366444687318,7.599020163556452e-07,8.879142527894986e-07,0.06308976332662491,-0.5599204653805013,8.344575394969752e-07,1.0651224438752361e-06
56.0,-0.259703535236431,-0.08567187169143627,7.36615407384575e-07,7.712802093181559e-07,-0.16860881442339964,-0.08888264319050394,7.660949097619455e-07,8.448393277135962e-07,-0.162424493818216,-0.18118260782850432,7.650116182332217e-07,8.50080274118786e-07,-0.33298806170685574,-0.5558681010291863,7.095230585280363e-07,7.167787512201889e-07
57.0,0.32838669721446107,-0.07840768627203455,9.850250844935503e-07,1.3887258849041465e-06,0.28506934297058234,-0.08232208202978313,9.530435589381563e-07,1.3298542409691207e-06,0.20412520214319285,-0.17442282168864998,9.100960941439322e-07,1.2264516982263098e-06,0.2788957361295943,-0.5412231214299095,9.62754166532807e-07,1.3216695343056626e-06
58.0,-0.2450986005800716,-0.08128166755320759,7.266094114470461e-07,7.826273669257864e-07,-0.30630982377655724,-0.08618393964610681,7.140562613729256e-07,7.361585047129007e-07,-0.36877348807874044,-0.17777369524709982,6.95665006294273e-07,6.91582044288175e-07,-0.28973332720089573,-0.5368870904949264,7.101680648038372e-07,7.484631357278634e-07
59.0,0.12361433340623518,-0.07780885397762383,8.847843129234664e-07,1.1315793744717258e-06,0.233296794038061,-0.08076901195654464,9.399084464199544e-07,1.2627562022303582e-06,0.23548429686757616,-0.17076932249939347,9.431033340689625e-07,1.2655215084506108e-06,0.06434596796337794,-0.5266966996735992,8.563313776512604e-07,1.0664612963882446e-06
60.0,0.08894943256604924,-0.07502954920189595,8.420416928403e-07,1.0930253834410475e-06,-0.02422032342843637,-0.0798265338144095,7.943805829402964e-07,9.760706348380701e-07,-0.14198558297512803,-0.17028959350732237,7.521296199938159e-07,8.676337650941842e-07,0.032609328756373714,-0.5173749325330997,8.202907220342105e-07,1.033146839629872e-06
61.0,-0.26833424436253467,-0.07819847863075888,7.338255468765445e-07,7.646521577126547e-07,-0.17365754107494738,-0.0813647470481888,7.6437843789949e-07,8.405847141114128e-07,-0.13493440108672297,-0.16971000018895188,7.748225452537629e-07,8.737732283831637e-07,-0.3123742081866425,-0.5140142649208628,7.158448432772784e-07,7.317076659926514e-07
62.0,0.33033366986154394,-0.07160925042927013,9.869730393756398e-07,1.3914323300487405e-06,0.2877583774804733,-0.07541114826546844,9.548932659790991e-07,1.3334350772546603e-06,0.18676073841690352,-0.16396047214692194,8.996365485536712e-07,1.205338859264266e-06,0.27429395099874243,-0.5012996162769982,9.584409596832513e-07,1.3156014677722947e-06
63.0,-0.23625381244810587,-0.07422265617560085,7.286690189489191e-07,7.895802432042579e-07,-0.3045168079129559,-0.07904774603765077,7.143275957321143e-07,7.374796326376977e-07,-0.37045629718888345,-0.1672381836555245,6.960664047764204e-07,6.904192224016785e-07,-0.31126841000866934,-0.49828324792353257,7.052213863452414e-07,7.325172345237241e-07
