history,period,amplitude_half_peak_to_peak,x_std,mean_support_power,mean_dissipation_power,mean_net_power,mean_abs_support_power,mean_local_excess_energy
low_history,277,3.0779372975908714e-06,2.1941817185414104e-06,1.2797632185155036e-12,1.6590622364719574e-12,-3.7929901795645384e-13,4.112215691233953e-12,8.607964582675658e-12
low_history,278,3.094543971710051e-06,2.115992422224159e-06,2.0500292933229746e-12,1.842369226087816e-12,2.0766006723515857e-13,4.371905055662136e-12,8.448365885408682e-12
low_history,279,3.1165849722902816e-06,2.2577069986860228e-06,1.7161861257480463e-12,1.6342633200376444e-12,8.192280571040226e-14,4.290277822354677e-12,8.932316928899416e-12
low_history,280,3.13486016320641e-06,2.156155919289265e-06,1.5491091034419564e-12,1.8637704832700154e-12,-3.1466137982805874e-13,4.302220024691792e-12,8.69961142461991e-12
low_history,281,3.1518094942284414e-06,2.227371648394697e-06,2.2433510153857176e-12,1.7832205189009021e-12,4.601304964848154e-13,4.628377893840608e-12,8.978772866684795e-12
low_history,282,3.173899542296965e-06,2.2656664715670816e-06,1.3657506012547448e-12,1.7597956952679756e-12,-3.940450940132309e-13,4.376543980347938e-12,9.164460081081667e-12
low_history,283,3.1925129632404126e-06,2.180969487878939e-06,2.1646384177878056e-12,1.9621913406441964e-12,2.0244707714360952e-13,4.639534864053712e-12,8.982508318935972e-12
low_history,284,3.2145217365442402e-06,2.327947034699003e-06,1.8469556521158355e-12,1.7394508286437941e-12,1.0750482347204152e-13,4.5694862069498115e-12,9.499583314593085e-12
low_history,285,3.23226579662661e-06,2.2261163484352485e-06,1.6292744388186163e-12,1.9782232304293905e-12,-3.489487916107739e-13,4.5735742694048214e-12,9.260807786602857e-12
low_history,286,3.2508254174945517e-06,2.294086146024567e-06,2.3943798275623168e-12,1.902634332225078e-12,4.917454953372383e-13,4.929459366547702e-12,9.540963257543516e-12
low_history,287,3.273248512597471e-06,2.3393807377152536e-06,1.4584195817824124e-12,1.8667144598804296e-12,-4.082948780980168e-13,4.657416600823882e-12,9.756495473496771e-12
low_history,288,3.292437565305395e-06,2.2480451163802116e-06,2.2848393431553294e-12,2.089514219491967e-12,1.953251236633624e-13,4.926318116809358e-12,9.550597028205333e-12
low_history,289,3.315915017926274e-06,2.400211115234909e-06,1.987438712131351e-12,1.851627766077277e-12,1.358109460540741e-13,4.865624668020246e-12,1.0102207545302991e-11
low_history,290,3.3338056019960316e-06,2.298411312248709e-06,1.7138811732199845e-12,2.0994669469618193e-12,-3.855857737418344e-13,4.861471774824066e-12,9.858274652094644e-12
low_history,291,3.353354069729475e-06,2.362773348242951e-06,2.5545675150459358e-12,2.0300407885157283e-12,5.245267265302077e-13,5.252630073851814e-12,1.0138269106217756e-11
low_history,292,3.3768820565938107e-06,2.4154132294039515e-06,1.5583540687830293e-12,1.9802597165620713e-12,-4.219056477790417e-13,4.953349239124296e-12,1.0386534282750457e-11
low_history,293,3.3951037956281294e-06,2.3173195700992594e-06,2.4109290611083066e-12,2.2248341800240974e-12,1.8609488108420967e-13,5.2319898651573126e-12,1.0155034508258873e-11
low_history,294,3.4188590925243734e-06,2.474581487244508e-06,2.1383411480833024e-12,1.9713134042976334e-12,1.6702774378566914e-13,5.1810116507727e-12,1.0742611769087518e-11
low_history,295,3.438585114562409e-06,2.3731416545429785e-06,1.803285117019005e-12,2.227948545022006e-12,-4.2466342800300085e-13,5.166065591500522e-12,1.0494575532954926e-11
low_history,296,3.4574504786943905e-06,2.4335014223998368e-06,2.7244046651141555e-12,2.1659699425025422e-12,5.584347226116132e-13,5.5964667024958975e-12,1.077293533882967e-11
low_history,297,3.482527585807471e-06,2.493829289542761e-06,1.6661528628459616e-12,2.100861907740958e-12,-4.347090448949965e-13,5.269191642263082e-12,1.1056970039351094e-11
low_history,298,3.5013168388497995e-06,2.388871588873349e-06,2.543169105041655e-12,2.368632001286489e-12,1.7453710375516585e-13,5.5535475778209506e-12,1.0798192223060375e-11
low_history,299,3.5263080435943284e-06,2.551116464501665e-06,2.3003711031424216e-12,2.099023013108264e-12,2.0134809003415765e-13,5.520056027965994e-12,1.1423129178247172e-11
low_history,300,3.546985058944241e-06,2.4503863080912858e-06,1.897835064195719e-12,2.3640975133248184e-12,-4.662624491290996e-13,5.492871088930517e-12,1.1172238082908403e-11
low_history,301,3.56613331578548e-06,2.50634484239705e-06,2.9044056789030857e-12,2.3109913787006756e-12,5.934143002024101e-13,5.957603007806993e-12,1.1447381345119567e-11
low_history,302,3.591181411161104e-06,2.574703984583076e-06,1.7824729263719211e-12,2.2289949494894844e-12,-4.4652202311756327e-13,5.608300815853994e-12,1.1770439695377046e-11
low_history,303,3.612240882966411e-06,2.462790937562215e-06,2.6818506224183454e-12,2.5214328871742897e-12,1.604177352440557e-13,5.894410340697927e-12,1.1482654027065281e-11
low_history,304,3.637198123351837e-06,2.629884381821285e-06,2.474295455363971e-12,2.2353211639436015e-12,2.389742914203688e-13,5.8799097014856054e-12,1.2146325008590408e-11
low_history,305,3.657051291572344e-06,2.5302340935437687e-06,1.9979221141673813e-12,2.508384679704867e-12,-5.104625655374853e-13,5.8403774315454785e-12,1.1894017861710601e-11
low_history,306,3.6782741499041816e-06,2.5813577679476132e-06,3.095060786152004e-12,2.46567012470037e-12,6.293906614516335e-13,6.340325956681891e-12,1.2163992380641593e-11
low_history,307,3.7034752982390007e-06,2.658090227232644e-06,1.9079882725031336e-12,2.365124250582626e-12,-4.57135978079493e-13,5.9684972614767375e-12,1.2529506762687967e-11
low_history,308,3.7251858166775786e-06,2.539146148091817e-06,2.8272303849015564e-12,2.6837429138696218e-12,1.434874710319345e-13,6.2595614085739565e-12,1.2210955848952515e-11
low_history,309,3.751805575352707e-06,2.710931234643523e-06,2.6608770776497525e-12,2.3807689861468464e-12,2.801080915029053e-13,6.262381451447938e-12,1.2914710363933478e-11
low_history,310,3.77204746976334e-06,2.6127525991374636e-06,2.1039366171325035e-12,2.661263940359808e-12,-5.573273232273044e-13,6.2085530620547514e-12,1.2662638708459206e-11
low_history,311,3.794164917969578e-06,2.6586195928379525e-06,3.2969202732437035e-12,2.630643922710857e-12,6.662763505328469e-13,6.75114222771922e-12,1.2925497111550061e-11
low_history,312,3.8208432138753246e-06,2.7440659178425446e-06,2.0434586814199675e-12,2.5097881429975882e-12,-4.663294615776208e-13,6.3480845363810516e-12,1.333712884783828e-11
low_history,313,3.841460268577679e-06,2.618032522106334e-06,2.9796287528315568e-12,2.856146763940804e-12,1.2348198889075272e-13,6.648853214146033e-12,1.2986017713192741e-11
low_history,314,3.868160406067522e-06,2.7943287777678296e-06,2.8609702748695335e-12,2.5360073711545237e-12,3.249629037150095e-13,6.669796865418047e-12,1.3731144585749433e-11
low_history,315,3.890715752047358e-06,2.698034741405735e-06,2.2163405029136016e-12,2.8232632072678965e-12,-6.06922704354295e-13,6.598426603906374e-12,1.3481210281992445e-11
low_history,316,3.9118222646405965e-06,2.7382053019409265e-06,3.510548328099647e-12,2.806579528052952e-12,7.039688000466946e-13,7.18752126436814e-12,1.373473763983006e-11
low_history,317,3.940254312884139e-06,2.832703260649253e-06,2.1896906671263732e-12,2.6635490031328284e-12,-4.73858336006455e-13,6.7532836442115134e-12,1.4196373200525829e-11
low_history,318,3.961512594824468e-06,2.699540167973725e-06,3.139366653215284e-12,3.039245721217265e-12,1.0012093199801963e-13,7.058445667633293e-12,1.3810906869483808e-11
low_history,319,3.989848496976922e-06,2.880143246298109e-06,3.075463239270501e-12,2.7017075037653596e-12,3.7375573550514225e-13,7.107454995100377e-12,1.4598623207466207e-11
low_history,320,4.013242720202204e-06,2.7861681633630353e-06,2.3356248906921123e-12,2.994928161330015e-12,-6.593032706379022e-13,7.0171153944608966e-12,1.4352958090507636e-11
low_history,321,4.034946053221855e-06,2.820223052522963e-06,3.736599858278062e-12,2.9942445842215833e-12,7.42355274056478e-13,7.645143944316171e-12,1.4595052909509686e-11
low_history,322,4.0633481079577205e-06,2.924113081839773e-06,2.347609848545078e-12,2.8270803712830703e-12,-4.794705227379924e-13,7.18891848814978e-12,1.5110864940278848e-11
low_history,323,4.087175739131421e-06,2.783798151333391e-06,3.3068715921215426e-12,3.2337588863699524e-12,7.31127057515909e-14,7.493250113275987e-12,1.4689227405178635e-11
low_history,324,4.115476294253018e-06,2.9684806787704955e-06,3.305374179280364e-12,2.8786580639136233e-12,4.267161153667407e-13,7.571813295917105e-12,1.552070101150115e-11
low_history,325,4.137687559524483e-06,2.8772789896935517e-06,2.462389117345306e-12,3.176919885612702e-12,-7.145307682673961e-13,7.462505537544327e-12,1.5281742744938547e-11
low_history,326,4.161951965342414e-06,2.9047000478851217e-06,3.9755715071102756e-12,3.1942861790064343e-12,7.812853281038405e-13,8.130001641767824e-12,1.5509124695336e-11
low_history,327,4.190293531575184e-06,3.0182982909797566e-06,2.5180361238914986e-12,3.000884536482231e-12,-4.828484125907318e-13,7.651223285467913e-12,1.6083303081332357e-11
low_history,328,4.214838190547132e-06,2.8708328929171893e-06,3.4823332906883205e-12,3.440199408764938e-12,4.2133881923382264e-14,7.958672045176944e-12,1.5623708331221294e-11
low_history,329,4.2450208404543055e-06,3.059336733407743e-06,3.5515365917801682e-12,3.0674826527569705e-12,4.840539390231977e-13,8.066090936726901e-12,1.6499983918854307e-11
low_history,330,4.267923023465459e-06,2.9713879790385884e-06,2.597090589256992e-12,3.3696959964605654e-12,-7.726054072035739e-13,7.933529960978772e-12,1.6270453583467276e-11
low_history,331,4.292947258677238e-06,2.991737755419994e-06,4.228110345851065e-12,3.4075273549030503e-12,8.205829909480145e-13,8.650426520323814e-12,1.648054467223059e-11
low_history,332,4.323197295291736e-06,3.1153723008407316e-06,2.7020262176585812e-12,3.1857173451391454e-12,-4.836911274805644e-13,8.138657147835615e-12,1.7117731317982257e-11
low_history,333,4.346524561021914e-06,2.9607787061243416e-06,3.6662166313218496e-12,3.659356796058082e-12,6.8598352637686054e-15,8.454875453594396e-12,1.6618386446112504e-11
low_history,334,4.376650406950899e-06,3.1528210287974245e-06,3.815070000976753e-12,3.269065592827434e-12,5.460044081493192e-13,8.592865232622158e-12,1.754040873899622e-11
low_history,335,4.402320897434198e-06,3.0686248047511343e-06,2.7404254275702316e-12,3.573988109691959e-12,-8.335626821217275e-13,8.432769378851344e-12,1.732336117205128e-11
low_history,336,4.426074697333471e-06,3.0814295459681084e-06,4.494896774175517e-12,3.6348266830335998e-12,8.600700911419186e-13,9.20237491473029e-12,1.7513026225900044e-11
low_history,337,4.458168197163381e-06,3.2154145603805e-06,2.900655067291499e-12,3.3823138220199867e-12,-4.816587547284877e-13,8.65907791193935e-12,1.821802715586052e-11
low_history,338,4.482388437893059e-06,3.0537383823046064e-06,3.858926686158326e-12,3.891983313618075e-12,-3.305662745974881e-14,8.977096548591371e-12,1.7677197869743296e-11
low_history,339,4.514347944434283e-06,3.2490085973428157e-06,4.0970749861137625e-12,3.484277310711162e-12,6.127976754026e-13,9.158275061334179e-12,1.8645777813391353e-11
low_history,340,4.540816472803355e-06,3.1690863848688127e-06,2.8930850804642377e-12,3.790492263076281e-12,-8.974071826120431e-13,8.96902243981613e-12,1.844462022728892e-11
low_history,341,4.565365396363985e-06,3.1738965504317587e-06,4.776695630486741e-12,3.877152318447735e-12,8.995433120390056e-13,9.780495510789753e-12,1.8610804753746384e-11
low_history,342,4.59756992632343e-06,3.318544109992706e-06,3.1151493362560093e-12,3.591540775381232e-12,-4.763914391252227e-13,9.218734871887346e-12,1.9388783539349446e-11
low_history,343,4.624529061941773e-06,3.149853918492262e-06,4.060983716511136e-12,4.138968512486389e-12,-7.798479597525277e-14,9.5324502470053e-12,1.88047420975014e-11
low_history,344,4.656620101850528e-06,3.348014825541263e-06,4.398813958195983e-12,3.714131441192026e-12,6.846825170039564e-13,9.757757255507927e-12,1.9820570995380997e-11
