Q,anchor_index,anchor_s,phase_index,loop_phase,s_value,PC1,PC2,PC3
522.25,0,1165.777520408083,91,0.37916666666666665,1165.8623062877127,0.0021982306475501244,0.0010458078633541752,-3.194752443544636e-08
522.25,0,1165.777520408083,92,0.3833333333333333,1165.8632380006757,0.0021788917609732636,0.0010670032798272512,-2.562926826894116e-08
522.25,0,1165.777520408083,93,0.3875,1165.8641697136386,0.0021589017290426444,0.0010878660673771649,-1.9295867733537967e-08
522.25,0,1165.777520408083,94,0.39166666666666666,1165.8651014266015,0.0021378355833122525,0.0011081800728743021,-1.29475619358625e-08
522.25,0,1165.777520408083,95,0.3958333333333333,1165.8660331395645,0.002115887086730346,0.0011280434362801635,-6.585544768494346e-09
522.25,0,1165.777520408083,96,0.4,1165.8669648525276,0.002093844000262272,0.0011478612658055315,-2.1028230735576324e-10
522.25,0,1165.777520408083,97,0.4041666666666667,1165.8678965654906,0.002071880501609321,0.0011677147670378603,6.1717046509735816e-09
522.25,0,1165.777520408083,98,0.4083333333333333,1165.8688282784535,0.0020498473636541446,0.0011875290519106924,1.2561985150122652e-08
522.25,0,1165.777520408083,99,0.4125,1165.8697599914165,0.002028187133734078,0.0012075720415164746,1.8990792785036354e-08
522.25,0,1165.777520408083,100,0.4166666666666667,1165.8706917043794,0.0020058074701302443,0.0012271743156770233,2.537514078119409e-08
522.25,0,1165.777520408083,101,0.42083333333333334,1165.8716234173423,0.0019814914978622724,0.0012455934348358734,3.162271354246605e-08
522.25,0,1165.777520408083,102,0.425,1165.8725551303053,0.001956938525264427,0.0012638688198439165,3.786173210890292e-08
522.25,0,1165.777520408083,103,0.42916666666666664,1165.8734868432682,0.0019326832060252716,0.0012823238773121374,4.4130665767787e-08
522.25,0,1165.777520408083,104,0.43333333333333335,1165.8744185562311,0.0019083295669282741,0.0013007179776158356,5.0401524244651925e-08
522.25,0,1165.777520408083,105,0.4375,1165.8753502691943,0.001884088633265121,0.0013191959069781183,5.67011162891556e-08
522.25,0,1165.777520408083,106,0.44166666666666665,1165.8762819821573,0.0018595988021155448,0.001337489986606106,6.296565518543071e-08
522.25,0,1165.777520408083,107,0.4458333333333333,1165.8772136951202,0.0018342542456243048,0.0013551622242009426,6.909719632941627e-08
522.25,0,1165.777520408083,108,0.45,1165.8781454080831,0.0018080164921451456,0.0013721830195989743,7.508735359059642e-08
522.25,0,1165.777520408083,109,0.45416666666666666,1165.879077121046,0.0017813999408671536,0.0013889294756794716,8.102141133657638e-08
522.25,0,1165.777520408083,110,0.4583333333333333,1165.880008834009,0.0017549038281764553,0.0014057641237892674,8.698396210560476e-08
522.25,0,1165.777520408083,111,0.46249999999999997,1165.880940546972,0.0017283362535476963,0.0014225347485606289,9.29334648311095e-08
522.25,0,1165.777520408083,112,0.4666666666666667,1165.8818722599349,0.0017019385784351876,0.0014394567359866334,9.893910978991805e-08
