Numberline_Q,Type,Step,E,Q,dt,||F||
162,Stiffness,77000,8.456e-15,1.620000000000e+02,8.116e-04,1.563e-05
163,Stiffness,76500,1.282e-14,1.630000000000e+02,1.214e-03,1.572e-05
164,Stiffness,76000,8.631e-15,1.640000000000e+02,9.409e-04,1.572e-05
165,Stiffness,75500,6.538e-15,1.650000000000e+02,8.443e-04,1.579e-05
166,Stiffness,75000,8.396e-15,1.660000000000e+02,1.309e-03,1.579e-05
167,Stiffness,74500,4.443e-15,1.670000000000e+02,1.218e-03,1.576e-05
168,Stiffness,74000,4.418e-15,1.680000000000e+02,1.093e-03,1.584e-05
169,Stiffness,73500,7.986e-16,1.690000000000e+02,1.412e-03,1.921e-05
170,Stiffness,73000,9.265e-16,1.700000000000e+02,9.120e-04,1.587e-05
171,Stiffness,72000,1.632e-14,1.710000000000e+02,1.057e-03,1.661e-05
172,Stiffness,71500,1.597e-14,1.720000000000e+02,1.138e-03,1.663e-05
173,Stiffness,71000,9.371e-15,1.730000000000e+02,7.354e-04,1.663e-05
174,Stiffness,70500,7.248e-15,1.740000000000e+02,8.209e-04,1.656e-05
175,Stiffness,70000,6.436e-15,1.750000000000e+02,1.100e-03,1.647e-05
176,Stiffness,69500,6.017e-15,1.760000000000e+02,1.142e-03,1.655e-05
177,Stiffness,69000,2.674e-15,1.770000000000e+02,7.378e-04,1.651e-05
178,Stiffness,68500,2.533e-16,1.780000000000e+02,9.533e-04,1.648e-05
179,Stiffness,67500,2.078e-14,1.790000000000e+02,1.326e-03,1.718e-05
180,Stiffness,67000,1.165e-14,1.800000000000e+02,1.066e-03,1.702e-05
181,Stiffness,66500,8.226e-15,1.810000000000e+02,9.564e-04,1.699e-05
182,Stiffness,66000,3.967e-15,1.820000000000e+02,8.897e-04,1.685e-05
183,Stiffness,65500,1.480e-15,1.830000000000e+02,1.149e-03,1.674e-05
184,Stiffness,64500,1.276e-14,1.840000000000e+02,7.996e-04,1.741e-05
185,Stiffness,64000,1.330e-14,1.850000000000e+02,1.033e-03,1.726e-05
186,Stiffness,63500,6.193e-15,1.860000000000e+02,8.009e-04,1.708e-05
187,Stiffness,63000,3.503e-15,1.870000000000e+02,1.242e-03,1.686e-05
188,Stiffness,62000,1.827e-14,1.880000000000e+02,1.036e-03,1.744e-05
189,Stiffness,61500,1.064e-14,1.890000000000e+02,7.750e-04,1.727e-05
190,Stiffness,61000,6.663e-15,1.900000000000e+02,8.651e-04,1.693e-05
191,Stiffness,60500,2.368e-15,1.910000000000e+02,7.762e-04,1.668e-05
192,Stiffness,59500,1.967e-14,1.920000000000e+02,1.080e-03,1.716e-05
193,Stiffness,59000,9.611e-15,1.930000000000e+02,8.371e-04,1.675e-05
194,Stiffness,58500,3.499e-15,1.940000000000e+02,7.787e-04,1.629e-05
195,Stiffness,58000,1.393e-15,1.950000000000e+02,1.165e-03,1.592e-05
196,Stiffness,57000,1.317e-14,1.960000000000e+02,8.100e-04,1.619e-05
197,Stiffness,56500,9.194e-15,1.970000000000e+02,9.043e-04,1.558e-05
198,Stiffness,56000,7.892e-15,1.980000000000e+02,9.736e-04,1.502e-05
199,Stiffness,55500,7.512e-15,1.990000000000e+02,1.048e-03,1.441e-05
200,Stiffness,55000,1.088e-14,2.000000000000e+02,1.354e-03,1.375e-05
201,Stiffness,54500,8.343e-15,2.010000000000e+02,7.560e-04,1.296e-05
202,Stiffness,54500,4.376e-15,2.020000000000e+02,1.050e-03,1.164e-05
203,Stiffness,54500,2.457e-15,2.030000000000e+02,1.260e-03,1.032e-05
204,Stiffness,54500,5.669e-15,2.040000000000e+02,7.292e-04,9.158e-06
205,Stiffness,55000,7.966e-15,2.050000000000e+02,1.129e-03,7.539e-06
